index,fullpathname,classname,library,label,layer_number
46,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\transport\smtp\StatusCodeSubject.java,StatusCodeSubject,k9mail-library,Information Holder,3.4.
47,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\RemoteStore.java,RemoteStore,k9mail-library,Structurer,3.2.2.
48,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\StoreConfig.java,StoreConfig,k9mail-library,Information Holder,3.4.
49,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\webdav\ConnectionInfo.java,ConnectionInfo,k9mail-library,Information Holder,4.
50,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\webdav\DataSet.java,DataSet,k9mail-library,Structurer,4.
51,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\webdav\HttpGeneric.java,HttpGeneric,k9mail-library,Information Holder,3.2.2.
52,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\webdav\ParsedMessageEnvelope.java,ParsedMessageEnvelope,k9mail-library,Structurer,3.2.2.
53,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\webdav\WebDavConstants.java,WebDavConstants,k9mail-library,Information Holder,3.4.
54,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\webdav\WebDavFolder.java,WebDavFolder,k9mail-library,Service Provider,3.4.
55,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\webdav\WebDavHandler.java,WebDavHandler,k9mail-library,Structurer,3.2.2.
56,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\webdav\WebDavHttpClient.WebDavHttpClientFactory.java,WebDavHttpClientFactory,k9mail-library,Service Provider,3.2.2.
57,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\webdav\WebDavHttpClient.java,WebDavHttpClient,k9mail-library,Service Provider,3.4.
58,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\webdav\WebDavMessage.java,WebDavMessage,k9mail-library,Service Provider,3.4.
59,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\webdav\WebDavSocketFactory.java,WebDavSocketFactory,k9mail-library,Service Provider,3.2.2.
60,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\webdav\WebDavStore.java,WebDavStore,k9mail-library,Information Holder,3.2.2.
61,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\webdav\WebDavStoreSettings.java,WebDavStoreSettings,k9mail-library,Information Holder,3.4.
62,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\webdav\WebDavStoreUriCreator.java,WebDavStoreUriCreator,k9mail-library,Service Provider,3.2.2.
63,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\webdav\WebDavStoreUriDecoder.java,WebDavStoreUriDecoder,k9mail-library,Service Provider,3.2.2.
64,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\pop3\Pop3Store.Pop3Capabilities.java,Pop3Capabilities,k9mail-library,Service Provider,3.4.
65,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\pop3\Pop3Store.Pop3ErrorResponse.java,Pop3ErrorResponse,k9mail-library,Information Holder,3.4.
66,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\pop3\Pop3Store.Pop3Folder.java,Pop3Folder,k9mail-library,Controller,3.4.
67,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\pop3\Pop3Store.Pop3Message.java,Pop3Message,k9mail-library,Service Provider,3.2.2.
68,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\pop3\Pop3Store.Pop3ResponseInputStream.java,Pop3ResponseInputStream,k9mail-library,Service Provider,3.2.2.
