com.fsck.k9.mail.store.pop3.Pop3Store,Pop3Store,Service Provider,class
com.fsck.k9.mail.store.imap.AlertResponse,AlertResponse,Service Provider,class
com.fsck.k9.mail.store.imap.Capabilities,Capabilities,Information Holder,class
com.fsck.k9.mail.store.imap.CapabilityResponse,CapabilityResponse,Service Provider,class
com.fsck.k9.mail.store.imap.Commands,Commands,Information Holder,class
com.fsck.k9.mail.store.imap.FetchBodyCallback,FetchBodyCallback,Service Provider,class
com.fsck.k9.mail.store.imap.FetchPartCallback,FetchPartCallback,Coordinator,class
com.fsck.k9.mail.store.imap.FolderNameCodec,FolderNameCodec,Service Provider,class
com.fsck.k9.mail.store.imap.IdGrouper.ContiguousIdGroup,ContiguousIdGroup,Information Holder,class
com.fsck.k9.mail.store.imap.IdGrouper.GroupedIds,GroupedIds,Information Holder,class
com.fsck.k9.mail.store.imap.IdGrouper,IdGrouper,Structurer,class
com.fsck.k9.mail.store.imap.ImapCommandSplitter,ImapCommandSplitter,Structurer,class
com.fsck.k9.mail.store.imap.ImapConnection,ImapConnection,Service Provider,class
com.fsck.k9.mail.store.imap.ImapFolder,ImapFolder,Structurer,class
com.fsck.k9.mail.store.imap.ImapFolderPusher.IdleStopper,IdleStopper,Service Provider,class
com.fsck.k9.mail.store.imap.ImapFolderPusher.PushRunnable,PushRunnable,Controller,class
com.fsck.k9.mail.store.imap.ImapFolderPusher,ImapFolderPusher,Controller,class
com.fsck.k9.mail.store.imap.ImapList,ImapList,Structurer,class
com.fsck.k9.mail.store.imap.ImapMessage,ImapMessage,Structurer,class
com.fsck.k9.mail.store.imap.ImapPushState,ImapPushState,Service Provider,class
com.fsck.k9.mail.store.imap.ImapPusher,ImapPusher,Service Provider,class
com.fsck.k9.mail.store.imap.ImapResponse,ImapResponse,Information Holder,class
com.fsck.k9.mail.store.imap.ImapResponseCallback,ImapResponseCallback,Service Provider,interface
com.fsck.k9.mail.store.imap.ImapResponseParser,ImapResponseParser,Service Provider,class
com.fsck.k9.mail.store.imap.ImapResponseParserException,ImapResponseParserException,Information Holder,class
com.fsck.k9.mail.store.imap.ImapSearcher,ImapSearcher,Service Provider,interface
com.fsck.k9.mail.store.imap.ImapSettings,ImapSettings,Information Holder,interface
com.fsck.k9.mail.store.imap.ImapStore.StoreImapSettings,StoreImapSettings,Information Holder,class
com.fsck.k9.mail.store.imap.ImapStore,ImapStore,Structurer,class
com.fsck.k9.mail.store.imap.ImapStoreSettings,ImapStoreSettings,Information Holder,class
com.fsck.k9.mail.store.imap.ImapStoreUriCreator,ImapStoreUriCreator,Service Provider,class
com.fsck.k9.mail.store.imap.ImapStoreUriDecoder,ImapStoreUriDecoder,Service Provider,class
com.fsck.k9.mail.store.imap.ImapUtility,ImapUtility,Service Provider,class
com.fsck.k9.mail.store.imap.ListResponse,ListResponse,Service Provider,class
com.fsck.k9.mail.store.imap.NamespaceResponse,NamespaceResponse,Service Provider,class
com.fsck.k9.mail.store.imap.NegativeImapResponseException,NegativeImapResponseException,Information Holder,class
com.fsck.k9.mail.store.imap.PermanentFlagsResponse,PermanentFlagsResponse,Service Provider,class
com.fsck.k9.mail.store.imap.ResponseCodeExtractor,ResponseCodeExtractor,Service Provider,class
com.fsck.k9.mail.store.imap.Responses,Responses,Information Holder,class
com.fsck.k9.mail.store.imap.SearchResponse,SearchResponse,Structurer,class
com.fsck.k9.mail.store.imap.SelectOrExamineResponse,SelectOrExamineResponse,Service Provider,class
com.fsck.k9.mail.store.imap.UidCopyResponse,UidCopyResponse,Service Provider,class
com.fsck.k9.mail.store.imap.UidSearchCommandBuilder,UidSearchCommandBuilder,Information Holder,class
com.fsck.k9.mail.store.imap.UntaggedHandler,UntaggedHandler,Service Provider,interface
